,Local_Government_Area,Offence_Division,Incidents_Recorded
228,Macedon Ranges,A Crimes against the person,2545
229,Macedon Ranges,B Property and deception offences,9107
230,Macedon Ranges,C Drug offences,710
231,Macedon Ranges,D Public order and security offences,862
232,Macedon Ranges,E Justice procedures offences,1873
233,Macedon Ranges,F Other offences,339
234,Manningham,A Crimes against the person,4560
235,Manningham,B Property and deception offences,24685
236,Manningham,C Drug offences,1152
237,Manningham,D Public order and security offences,996
238,Manningham,E Justice procedures offences,1962
239,Manningham,F Other offences,239
240,Mansfield,A Crimes against the person,606
241,Mansfield,B Property and deception offences,1861
242,Mansfield,C Drug offences,149
243,Mansfield,D Public order and security offences,412
244,Mansfield,E Justice procedures offences,339
245,Mansfield,F Other offences,151
246,Maribyrnong,A Crimes against the person,7988
247,Maribyrnong,B Property and deception offences,49886
248,Maribyrnong,C Drug offences,2937
249,Maribyrnong,D Public order and security offences,4205
250,Maribyrnong,E Justice procedures offences,3963
251,Maribyrnong,F Other offences,763
252,Maroondah,A Crimes against the person,8099
253,Maroondah,B Property and deception offences,34590
254,Maroondah,C Drug offences,2089
255,Maroondah,D Public order and security offences,3694
256,Maroondah,E Justice procedures offences,9012
257,Maroondah,F Other offences,429
258,Melbourne,A Crimes against the person,32518
259,Melbourne,B Property and deception offences,142201
260,Melbourne,C Drug offences,12886
261,Melbourne,D Public order and security offences,38972
262,Melbourne,E Justice procedures offences,24789
263,Melbourne,F Other offences,5719
264,Melton,A Crimes against the person,13232
265,Melton,B Property and deception offences,53761
266,Melton,C Drug offences,2583
267,Melton,D Public order and security offences,2886
268,Melton,E Justice procedures offences,6660
269,Melton,F Other offences,964
270,Mildura,A Crimes against the person,8630
271,Mildura,B Property and deception offences,25495
272,Mildura,C Drug offences,2346
273,Mildura,D Public order and security offences,5500
274,Mildura,E Justice procedures offences,6403
275,Mildura,F Other offences,235
276,Mitchell,A Crimes against the person,5934
277,Mitchell,B Property and deception offences,13284
278,Mitchell,C Drug offences,1352
279,Mitchell,D Public order and security offences,1852
280,Mitchell,E Justice procedures offences,3467
281,Mitchell,F Other offences,333
282,Moira,A Crimes against the person,2309
283,Moira,B Property and deception offences,7598
284,Moira,C Drug offences,873
285,Moira,D Public order and security offences,994
286,Moira,E Justice procedures offences,1589
287,Moira,F Other offences,163
288,Monash,A Crimes against the person,9846
289,Monash,B Property and deception offences,58016
290,Monash,C Drug offences,2435
291,Monash,D Public order and security offences,2926
292,Monash,E Justice procedures offences,4432
293,Monash,F Other offences,937
294,Moonee Valley,A Crimes against the person,8440
295,Moonee Valley,B Property and deception offences,46947
296,Moonee Valley,C Drug offences,2910
297,Moonee Valley,D Public order and security offences,3382
298,Moonee Valley,E Justice procedures offences,4226
299,Moonee Valley,F Other offences,769
300,Moorabool,A Crimes against the person,2529
301,Moorabool,B Property and deception offences,10250
302,Moorabool,C Drug offences,556
303,Moorabool,D Public order and security offences,786
304,Moorabool,E Justice procedures offences,1612
305,Moorabool,F Other offences,425
306,Moreland,A Crimes against the person,13511
307,Moreland,B Property and deception offences,77250
308,Moreland,C Drug offences,2854
309,Moreland,D Public order and security offences,3944
310,Moreland,E Justice procedures offences,6807
311,Moreland,F Other offences,978
312,Mornington Peninsula,A Crimes against the person,11125
313,Mornington Peninsula,B Property and deception offences,49092
314,Mornington Peninsula,C Drug offences,3320
315,Mornington Peninsula,D Public order and security offences,7370
316,Mornington Peninsula,E Justice procedures offences,8066
317,Mornington Peninsula,F Other offences,1209
318,Mount Alexander,A Crimes against the person,1235
319,Mount Alexander,B Property and deception offences,4056
320,Mount Alexander,C Drug offences,349
321,Mount Alexander,D Public order and security offences,608
322,Mount Alexander,E Justice procedures offences,1123
323,Mount Alexander,F Other offences,87
324,Moyne,A Crimes against the person,1122
325,Moyne,B Property and deception offences,2606
326,Moyne,C Drug offences,162
327,Moyne,D Public order and security offences,366
328,Moyne,E Justice procedures offences,409
329,Moyne,F Other offences,50
330,Murrindindi,A Crimes against the person,1150
331,Murrindindi,B Property and deception offences,2843
332,Murrindindi,C Drug offences,325
333,Murrindindi,D Public order and security offences,525
334,Murrindindi,E Justice procedures offences,370
335,Murrindindi,F Other offences,158
336,Nillumbik,A Crimes against the person,2608
337,Nillumbik,B Property and deception offences,11730
338,Nillumbik,C Drug offences,600
339,Nillumbik,D Public order and security offences,610
340,Nillumbik,E Justice procedures offences,1401
341,Nillumbik,F Other offences,130
342,Northern Grampians,A Crimes against the person,1853
343,Northern Grampians,B Property and deception offences,3415
344,Northern Grampians,C Drug offences,650
345,Northern Grampians,D Public order and security offences,803
346,Northern Grampians,E Justice procedures offences,932
347,Northern Grampians,F Other offences,121
348,Port Phillip,A Crimes against the person,11757
349,Port Phillip,B Property and deception offences,64338
350,Port Phillip,C Drug offences,3704
351,Port Phillip,D Public order and security offences,8439
352,Port Phillip,E Justice procedures offences,5220
353,Port Phillip,F Other offences,1558
354,Pyrenees,A Crimes against the person,642
355,Pyrenees,B Property and deception offences,2090
356,Pyrenees,C Drug offences,170
357,Pyrenees,D Public order and security offences,145
358,Pyrenees,E Justice procedures offences,231
